Position,Cost,Asset
2228.4151,130306.8497,171097.7105
2228.4151,130306.8497,170562.8909
2228.4151,130306.8497,170228.6287
2228.4151,130306.8497,172969.5792
2228.4151,130306.8497,173994.6502
2241.2044,131306.8497,175239.7758
2241.2044,131306.8497,173469.2243
2241.2044,131306.8497,173536.4604
2241.2044,131306.8497,173401.9882
2241.2044,131306.8497,174701.8867
2253.9401,132306.8497,176979.3733
2253.9401,132306.8497,176821.5975
2253.9401,132306.8497,178061.2645
2253.9401,132306.8497,179639.0225
2266.4463,133306.8497,181225.0470
2266.4463,133306.8497,180341.1329
2266.4463,133306.8497,179570.5412
2266.4463,133306.8497,180635.7709
2266.4463,133306.8497,181791.6585
2278.8779,134306.8497,183312.9412
2278.8779,134306.8497,183016.6871
2278.8779,134306.8497,183153.4197
2278.8779,134306.8497,180897.3306
2278.8779,134306.8497,181216.3735
2291.4676,135306.8497,182011.2745
2291.4676,135306.8497,182125.8479
2291.4676,135306.8497,181988.3598
2291.4676,135306.8497,183569.4725
2291.4676,135306.8497,183706.9605
2303.7376,136306.8497,187754.6125
2303.7376,136306.8497,188215.3600
2303.7376,136306.8497,188606.9954
2303.7376,136306.8497,189136.8550
2315.9820,137306.8497,189146.2479
2315.9820,137306.8497,189493.6452
2315.9820,137306.8497,189493.6452
2315.9820,137306.8497,188891.4899
2328.3307,138306.8497,188548.2203
2328.3307,138306.8497,188687.9202
2328.3307,138306.8497,189595.9691
2328.3307,138306.8497,190667.0013
2328.3307,138306.8497,189805.5189
2340.6052,139306.8497,190689.1024
2340.6052,139306.8497,188769.8061
2340.6052,139306.8497,192561.5865
2340.6052,139306.8497,193146.7378
2340.6052,139306.8497,192725.4288
2340.6052,139306.8497,193451.0164
2340.6052,139306.8497,194200.0101
2340.6052,139306.8497,193591.4528
2340.6052,139306.8497,192584.9925
2352.9417,140306.8497,190729.4542
2352.9417,140306.8497,188000.0419
2352.9417,140306.8497,187152.9829
2352.9417,140306.8497,189035.3362
2352.9417,140306.8497,188094.1595
2365.3687,141306.8497,190341.2186
2365.3687,141306.8497,187266.2393
2365.3687,141306.8497,187077.0098
2365.3687,141306.8497,187762.9668
2365.3687,141306.8497,190648.7166
2377.6296,142306.8497,193919.4705
2377.6296,142306.8497,195512.4823
2377.6296,142306.8497,197699.9016
2377.6296,142306.8497,196249.5475
2377.6296,142306.8497,199078.9268
2377.6296,142306.8497,199887.3208
2377.6296,142306.8497,200148.8601
2377.6296,142306.8497,199292.9134
2377.6296,142306.8497,200719.4912
2389.5004,143306.8497,201291.5179
2389.5004,143306.8497,202175.6330
2389.5004,143306.8497,202199.5280
2389.5004,143306.8497,201506.5729
2389.5004,143306.8497,202749.1131
2401.4080,144306.8497,201670.2477
2401.4080,144306.8497,204287.7825
2401.4080,144306.8497,204984.1908
2401.4080,144306.8497,205680.5992
2401.4080,144306.8497,205680.5992
2413.1852,145306.8497,204903.5572
2413.1852,145306.8497,205675.7765
2413.1852,145306.8497,203383.2505
2413.1852,145306.8497,205844.6995
2413.1852,145306.8497,201525.0979
2425.1269,146306.8497,203080.1305
2425.1269,146306.8497,203807.6686
2425.1269,146306.8497,206087.2879
2425.1269,146306.8497,204268.4427
